RM1.jpg,0,R,1550,177,93,244
RM1.jpg,1,R,1569,488,158,207
RM1.jpg,2,R,1567,725,204,113
RM1.jpg,3,R,1559,881,192,173
RM1.jpg,4,R,1546,1207,100,287
RM1.jpg,5,R,1548,1525,179,186
RM1.jpg,6,R,1529,1762,194,128
RM1.jpg,7,R,1520,1965,144,206
RM1.jpg,8,R,1527,2254,125,287
RM1.jpg,9,R,1532,2539,169,160
RM1.jpg,10,R,1524,2751,169,122
RM1.jpg,11,R,1794,171,102,263
RM1.jpg,12,R,1802,487,144,221
RM1.jpg,13,R,1808,741,200,145
RM1.jpg,14,R,1793,930,176,170
RM1.jpg,15,R,1771,1247,111,333
RM1.jpg,16,R,1789,1550,169,195
RM1.jpg,17,R,1767,1790,202,142
RM1.jpg,18,R,1771,1963,210,151
RM1.jpg,19,R,1766,2262,126,296
RM1.jpg,20,R,1756,2549,177,180
RM1.jpg,21,R,1738,2775,194,119
RM1.jpg,22,R,2002,178,125,271
RM1.jpg,23,R,2004,500,140,259
RM1.jpg,24,R,2013,743,188,130
RM1.jpg,25,R,2013,981,219,180
RM1.jpg,26,R,2015,1279,96,297
RM1.jpg,27,R,1999,1571,194,218
RM1.jpg,28,R,2007,1804,207,136
RM1.jpg,29,R,2002,2008,213,159
RM1.jpg,30,R,2009,2267,103,297
RM1.jpg,31,R,1996,2540,200,192
RM1.jpg,32,R,1993,2778,215,119
